id,Name,titleProject_id,class,score,login,pass
76,Лавренков Михаил Василиевич,188,9б,2,Лавренков_МВ,sctilX3S
77,Шушкалова Вероника Алексеевна,411,8т,5,Шушкалова_ВА,18zCk7kJ
78,Бороданова Маргарита Дмитриевна,118,7г,5,Бороданова_МД,bqAmNxN2
79,Циркина Виолетта Федоровна,231,9г,2,Циркина_ВФ,0DSBqHjm
80,Болохина Екатерина Андреевна,194,11д,3,Болохина_ЕА,VddKwaC5
81,Чукалова Дарья Валерьевна,20,10г,4,Чукалова_ДВ,EQcC7mDE
82,Беловолов Степан Петрович,222,9д,2,Беловолов_СП,DpVW6TfO
83,Зудейкина Вероника Ивановна,166,8и,3,Зудейкина_ВИ,qdXZLxJe
84,Макунова Мария Борисовна,47,9в,5,Макунова_МБ,Vrmkmb32
85,Верзанский Геннадий Андреевич,497,7д,5,Верзанский_ГА,i3ElB51t
86,Алтубин Ярослав Леонидович,414,10г,5,Алтубин_ЯЛ,7Czx0Hs6
87,Аузин Игорь Алексиевич,435,8х,5,Аузин_ИА,Pk0Eh2Xo
88,Калыгин Степан Тимофеевич,353,8и,2,Калыгин_СТ,4lSzWmD4
89,Дурныгина Полина Игоревна,72,8и,2,Дурныгина_ПИ,5G67ZMMA
90,Антюфеева Александра Вадимовна,347,8и,2,Антюфеева_АВ,mgLx6PW3
91,Лощинский Борис Романович,210,10б,3,Лощинский_БР,XfGtl1cs
92,Ходорков Евгений Виталиевич,344,9г,5,Ходорков_ЕВ,J29UtoV5
93,Кафорин Федор Данилович,427,10д,3,Кафорин_ФД,WCJUBgcM
94,Косынская Алиса Дмитриевна,40,9в,3,Косынская_АД,HVk7nHP6
95,Беремцев Артём Антонович,434,11т,2,Беремцев_АА,Z7xxwsRm
96,Влянская Мария Андреевна,490,7т,4,Влянская_МА,rXawpcSN
97,Мыгеева Лиза Василевна,280,8в,5,Мыгеева_ЛВ,RQWSMXXY
98,Акутникова Мария Алексеевна,173,11в,2,Акутникова_МА,bzKvb6Pu
99,Карябкин Константин Максимович,89,7и,2,Карябкин_КМ,1PxGT5qO
100,Прилепина Яна Максимовна,30,10в,5,Прилепина_ЯМ,FTRsMtL3
101,Ведищев Никита Георгиевич,365,7и,5,Ведищев_НГ,pTtUF2uH
102,Самчева Вероника Борисовна,287,10г,3,Самчева_ВБ,ey7zjP6E
103,Пирцхалова Карина Леонидовна,452,10г,5,Пирцхалова_КЛ,sclD2Gjj
104,Павлочев Денис Борисович,432,11д,5,Павлочев_ДБ,3yK6u6AS
105,Арашкова Екатерина Евгеньевна,356,8х,None,Арашкова_ЕЕ,CEB0atO5
106,Байсарова Людмила Василевна,215,11и,2,Байсарова_ЛВ,kaddokuS
107,Кудекина Зинаида Игоревна,250,10и,3,Кудекина_ЗИ,ECVaco9x
108,Дерналов Виталий Викторович,1,9г,4,Дерналов_ВВ,wQKAOoQf
109,Сазинова Галина Романовна,61,9и,3,Сазинова_ГР,pGxdjKSK
110,Остаченова Марина Эдуардовна,229,9т,5,Остаченова_МЭ,UunLccKa
111,Битюкова Яна Егоровна,488,9и,4,Битюкова_ЯЕ,TKSoY8rb
112,Иваницкий Константин Борисович,232,8д,5,Иваницкий_КБ,kDyPTroY
113,Белянский Владислав Игоревич,74,11б,5,Белянский_ВИ,i7fmQMmL
114,Баранкин Артём Алексеевич,382,9т,2,Баранкин_АА,JVJEF7vU
115,Шкабанова Софья Вадимовна,499,9х,4,Шкабанова_СВ,x2QccX9f
116,Полозлов Денис Адамович,155,8т,3,Полозлов_ДА,Fs4nSX5U
117,Жунина Светлана Михайловна,162,8в,3,Жунина_СМ,iX5iUd8J
118,Пантыкин Борис Игоревич,245,9х,2,Пантыкин_БИ,bOTJ5cOH
119,Доутова Марина Богдановна,189,11х,2,Доутова_МБ,oHL1zZZD
120,Трещалова Яна Андреевна,330,8б,3,Трещалова_ЯА,uV6leTuY
121,Ивашечкин Александр Данилович,390,10т,4,Ивашечкин_АД,rkgq6ilI
122,Мазьянова Инна Богдановна,416,11в,4,Мазьянова_ИБ,5mXniGO5
123,Корогев Николай Евгеньевич,184,8б,5,Корогев_НЕ,suAdhNpy
124,Заидова Галина Максимовна,88,9т,4,Заидова_ГМ,ftwbA8At
125,Рамхин Кирилл Алексиевич,459,9х,4,Рамхин_КА,lzTDmhOj
126,Кизбабаев Эдуард Фёдорович,415,11т,2,Кизбабаев_ЭФ,tmm17tkk
127,Соурчаков Ярослав Валериевич,268,8б,2,Соурчаков_ЯВ,i9y0kphi
128,Мотяшева Алена Михайловна,404,7т,2,Мотяшева_АМ,U37UrExl
129,Горшкова Наталия Яковлевна,340,11а,2,Горшкова_НЯ,wBVWoTlT
130,Зябрицкий Игорь Виталиевич,332,7а,5,Зябрицкий_ИВ,bm2l2u4m
131,Шельдяев Игорь Юриевич,97,7д,5,Шельдяев_ИЮ,Tr82khcM
132,Шмелькин Максим Викторович,483,9т,5,Шмелькин_МВ,i1vjZ4qy
133,Жалкин Алексей Алексеевич,43,7а,3,Жалкин_АА,DiXJf6Ed
134,Худасов Денис Максимович,70,10д,2,Худасов_ДМ,PRaHI7UZ
135,Швичкова Наталья Эдуардовна,398,7г,4,Швичкова_НЭ,Eqq3XBvy
136,Едская Жанна Валерьевна,436,11в,4,Едская_ЖВ,6DnwaoRI
137,Поморзина Полина Евгеньевна,122,7д,4,Поморзина_ПЕ,T2sPx8DD
138,Будачева Кира Олеговна,55,11х,4,Будачева_КО,FSXmGEfB
139,Молкаев Василий Валериевич,216,8д,2,Молкаев_ВВ,uF8AZMyX
140,Яцынин Константин Тимофеевич,285,7г,2,Яцынин_КТ,oEsVQtF0
141,Маховиков Василий Петрович,391,7х,4,Маховиков_ВП,Eqc21YPB
142,Шаметова Евгения Вадимовна,463,7а,2,Шаметова_ЕВ,mZwBXetp
143,Законнова Жанна Евгеньевна,442,11и,None,Законнова_ЖЕ,WU3HwVDe
144,Перчихин Аркадий Тимофеевич,164,10т,3,Перчихин_АТ,pvExCKKj
145,Бурдасова Ксения Игоревна,203,9а,3,Бурдасова_КИ,o0HKDUN4
146,Киссин Степан Иванович,251,7х,5,Киссин_СИ,qqWIw2XH
147,Вапилина Мария Егоровна,77,7д,2,Вапилина_МЕ,DYMR233z
148,Сигутина Дарья Федоровна,458,7б,2,Сигутина_ДФ,i4jM4z2t
149,Сошьяков Альберт Фёдорович,17,7т,4,Сошьяков_АФ,K6Pkx5tG
150,Лугахина Клара Вадимовна,419,8в,4,Лугахина_КВ,4cM26fQj
151,Логецкий Анатолий Виталиевич,372,11б,4,Логецкий_АВ,7FbQkKY2
152,Ковайкова Юлия Егоровна,75,10г,2,Ковайкова_ЮЕ,yr0xzZhr
153,Вермутский Валерий Петрович,447,9и,5,Вермутский_ВП,rDrM7J68
154,Россомахов Олег Юриевич,56,8в,2,Россомахов_ОЮ,rI5PxEkc
155,Циплакова Екатерина Егоровна,471,9б,5,Циплакова_ЕЕ,xNw1XeGn
156,Квятцева Алла Никитична,138,11в,2,Квятцева_АН,z0DkCih2
157,Выхухолева Лариса Василевна,384,8б,5,Выхухолева_ЛВ,1eJvS3Re
158,Целохов Андрей Вадимович,433,8и,5,Целохов_АВ,GU68ZD5Z
159,Бендин Иван Яковлевич,71,8и,4,Бендин_ИЯ,cUkbLgyr
160,Лазученков Василий Алексеевич,381,7х,2,Лазученков_ВА,z1Upmb6m
161,Скоропухов Михаил Василиевич,69,10и,3,Скоропухов_МВ,aBMtj1rn
162,Мухонкин Тарас Романович,126,9и,4,Мухонкин_ТР,KsbMJ1NN
163,Камерцев Владимир Кириллович,303,7а,3,Камерцев_ВК,RanMKv58
164,Сандрыкина Анна Олеговна,324,10т,2,Сандрыкина_АО,MUJsg2Pt
165,Недбайлов Алексей Денисович,15,7т,2,Недбайлов_АД,iKoy1mJ5
166,Серпков Ярослав Георгиевич,380,10б,4,Серпков_ЯГ,46yVSxRN
167,Хатшуклов Аркадий Николаевич,42,11т,4,Хатшуклов_АН,HduWTwYS
168,Литвалиева Алиса Егоровна,10,11и,3,Литвалиева_АЕ,e9zfZoIF
169,Енесина Лиза Валерьевна,293,9б,5,Енесина_ЛВ,xy6IsnL6
170,Пикальков Эдуард Алексиевич,21,8д,5,Пикальков_ЭА,835DBXoa
171,Сачинский Валентин Кириллович,125,10т,2,Сачинский_ВК,dsq3Up3g
172,Тарзанова Евгения Аркадьевна,96,9д,2,Тарзанова_ЕА,m9y1wXpW
173,Лапундин Юрий Игоревич,267,8и,5,Лапундин_ЮИ,Er0tCCu9
174,Личева Лиза Михайловна,453,9б,3,Личева_ЛМ,iyPj4C4h
175,Смароверов Яков Борисович,131,11в,4,Смароверов_ЯБ,jACccNF5
176,Вереина Алла Василевна,295,10и,3,Вереина_АВ,WSblmp0q
177,Погиблева Дарья Леонидовна,283,9в,5,Погиблева_ДЛ,QH1qWLrd
178,Байнова Анастасия Вадимовна,363,7б,3,Байнова_АВ,4SmcSFA0
179,Шиловский Вячеслав Максимович,438,9и,4,Шиловский_ВМ,6LOhVMpx
180,Сыждиков Пётр Василиевич,494,11х,5,Сыждиков_ПВ,l9FVI2U3
181,Каценова Алёна Эдуардовна,165,11т,2,Каценова_АЭ,Tnh0OiqP
182,Мужицких Ева Олеговна,348,8х,3,Мужицких_ЕО,ajYWcObM
183,Плеснецов Степан Юрьевич,22,10а,2,Плеснецов_СЮ,ROaJMxep
184,Игумнова Алёна Сергеевна,114,9д,4,Игумнова_АС,v5gKv7Pb
185,Хадаров Владимир Валериевич,278,11т,5,Хадаров_ВВ,0ElaW3IN
186,Ступакова Кира Ивановна,421,8и,3,Ступакова_КИ,Zhhlf1bJ
187,Шоленинов Федор Максимович,286,11т,4,Шоленинов_ФМ,LEZYXjP2
188,Гундаров Руслан Николаевич,158,9д,4,Гундаров_РН,4Up4ttJr
189,Гречишева Марина Андреевна,464,7д,2,Гречишева_МА,7RdbimpJ
190,Утилова Алена Андреевна,253,11д,3,Утилова_АА,V77ZmyZQ
191,Роткичева Алиса Максимовна,410,10а,4,Роткичева_АМ,8LOre2AY
192,Колтышева Марина Вадимовна,87,11г,4,Колтышева_МВ,vw7xyJC8
193,Гурычева Лариса Валерьевна,489,9б,2,Гурычева_ЛВ,311KgQYo
194,Горцева Кристина Никитична,246,8и,4,Горцева_КН,8wpj7gNH
195,Кутурин Геннадий Денисович,197,9в,2,Кутурин_ГД,fT2VdyDp
196,Стефанков Яков Евгеньевич,318,10г,3,Стефанков_ЯЕ,V4WOG4ph
197,Множина Людмила Василевна,90,8б,2,Множина_ЛВ,RxI51azN
198,Семисалов Георгий Иванович,316,9в,3,Семисалов_ГИ,CF8bwf8h
199,Рогалов Альберт Валериевич,327,9б,2,Рогалов_АВ,4TMc4BH4
200,Черетаева Анастасия Олеговна,341,9б,2,Черетаева_АО,xRR5Dd30
201,Радоминова Любовь Игоревна,25,9и,5,Радоминова_ЛИ,9fS7WEBe
202,Шувырина Лиза Андреевна,395,9а,5,Шувырина_ЛА,X4MMMLaQ
203,Калиженков Семён Алексеевич,401,11а,4,Калиженков_СА,BhalejVj
204,Старокашин Константин Петрович,309,10а,3,Старокашин_КП,mIHILchW
205,Малтоцов Аркадий Яковлевич,218,8а,3,Малтоцов_АЯ,EmgY0ihA
206,Кузеванова Ева Егоровна,116,7д,2,Кузеванова_ЕЕ,90Rhk1pr
207,Нурулина Алёна Егоровна,284,9х,2,Нурулина_АЕ,dqQz2ZUg
208,Лератов Герасим Сергеевич,374,10а,4,Лератов_ГС,cXcOxTLy
209,Людин Руслан Аркадиевич,498,7и,3,Людин_РА,AsRYzcfP
210,Пурин Виктор Данилович,154,8и,5,Пурин_ВД,WiLKrWq4
211,Лютов Виктор Юрьевич,288,11г,2,Лютов_ВЮ,FZdY7GsW
212,Марюшкина Яна Федоровна,345,10д,5,Марюшкина_ЯФ,p3VAnf34
213,Томилова Кристина Михайловна,492,11б,3,Томилова_КМ,dlbGfkVA
214,Дистерев Валерий Валериевич,24,7г,3,Дистерев_ВВ,2FdRh4h7
215,Дочкин Геннадий Алексиевич,52,11и,5,Дочкин_ГА,xUBYsxwF
216,Иняхин Руслан Сергеевич,234,7и,5,Иняхин_РС,qBPohoCs
217,Знайкова Раиса Егоровна,148,11х,3,Знайкова_РЕ,1xq9LTvW
218,Кашавцев Аркадий Леонидович,58,7а,4,Кашавцев_АЛ,daIIPBeW
219,Пятернина Кристина Андреевна,445,7и,2,Пятернина_КА,plxcfMsK
220,Гусеева Карина Викторовна,263,9и,2,Гусеева_КВ,7CNzKciU
221,Кастева Яна Сергеевна,108,7и,2,Кастева_ЯС,HtP6xcVC
222,Гришанин Тарас Павлович,113,10т,2,Гришанин_ТП,fd6Lgrav
223,Грамоткин Илья Викторович,195,8д,5,Грамоткин_ИВ,qv4AMIC0
224,Мелисин Геннадий Василиевич,465,10г,2,Мелисин_ГВ,7v394NnB
225,Цинина Светлана Яковлевна,105,11г,5,Цинина_СЯ,XKQHN9HX
226,Петов Георгий Адамович,57,9а,2,Петов_ГА,uxl9cIvA
227,Реева Валентина Максимовна,146,11и,5,Реева_ВМ,Qw0RPXMC
228,Слесивых Мария Аркадьевна,35,7и,5,Слесивых_МА,8qlmByH1
229,Афтаева Полина Ивановна,193,10д,5,Афтаева_ПИ,7VzPBu3p
230,Кривицкий Валентин Виталиевич,208,8х,5,Кривицкий_ВВ,En2FFt0A
231,Чубатов Константин Леонидович,279,11а,4,Чубатов_КЛ,XOvSfHkF
232,Партенков Геннадий Павлович,418,8х,3,Партенков_ГП,ilESfJLP
233,Черушев Григорий Борисович,84,7г,4,Черушев_ГБ,NMmyqRHW
234,Тютекин Георгий Тимофеевич,262,7а,2,Тютекин_ГТ,VP9vw9L7
235,Янкевский Вячеслав Адамович,167,11г,4,Янкевский_ВА,9bcDynEz
236,Сухручкина Клавдия Аркадьевна,177,7в,4,Сухручкина_КА,SRUAc4jw
237,Конофалова Клара Петровна,95,11д,5,Конофалова_КП,XYJFEab8
238,Лигасов Михаил Павлович,491,11г,4,Лигасов_МП,P8e3Iub5
239,Писарьков Альберт Игоревич,313,8в,4,Писарьков_АИ,psSk3Nxf
240,Варов Кирилл Иванович,28,8а,5,Варов_КИ,yw4JcauL
241,Пурынов Евгений Петрович,244,9и,3,Пурынов_ЕП,k9mNNFbo
242,Супрутская Вероника Викторовна,187,9а,2,Супрутская_ВВ,vH5yS24h
243,Скроцкая Алина Федоровна,127,8г,3,Скроцкая_АФ,5ggg0MSZ
244,Барадулин Вадим Юрьевич,281,11х,3,Барадулин_ВЮ,4aGbszzU
245,Точилин Дмитрий Фёдорович,476,8а,2,Точилин_ДФ,A3x6yljc
246,Бикмуллин Руслан Валериевич,333,11т,2,Бикмуллин_РВ,8yKmf3t8
247,Серпичев Василий Алексиевич,394,10х,5,Серпичев_ВА,M82Jqi1U
248,Вострышев Яков Аркадиевич,343,8г,5,Вострышев_ЯА,A9GyqCRW
249,Грушчева София Евгеньевна,480,11в,None,Грушчева_СЕ,dZ4h94jn
250,Кулапов Александр Юрьевич,109,9б,5,Кулапов_АЮ,OIXPPX2v
251,Чибисенков Владислав Фёдорович,375,8х,3,Чибисенков_ВФ,FuneI3OV
252,Утилов Роман Василиевич,254,9х,2,Утилов_РВ,NRYyexgA
253,Татаурова Галина Федоровна,145,10т,4,Татаурова_ГФ,VPd1vnHl
254,Визавитина Наталия Леонидовна,101,10г,2,Визавитина_НЛ,YlJktZOM
255,Мягченков Артём Денисович,115,7б,4,Мягченков_АД,PG30srJK
256,Брикова Инна Богдановна,256,9б,4,Брикова_ИБ,yZhLeqyN
257,Наторкин Валентин Данилович,319,7и,2,Наторкин_ВД,r0MpwRpt
258,Эштрекова Софья Алексеевна,76,9в,3,Эштрекова_СА,6R1ejnfx
259,Кутаманова Кира Андреевна,182,10т,2,Кутаманова_КА,6sXHXTNw
260,Кыштымова Евгения Эдуардовна,255,8в,5,Кыштымова_ЕЭ,ax5aOawF
261,Ккнязева Клавдия Дмитриевна,34,7б,5,Ккнязева_КД,vagedE6u
262,Глаголина Алиса Никитична,249,9д,2,Глаголина_АН,28mfQ3vF
263,Рисина Раиса Валерьевна,451,10а,4,Рисина_РВ,Y2Iz7b3B
264,Ребров Алексей Георгиевич,289,8и,3,Ребров_АГ,BvFRGHMD
265,Вырысалова Александра Евгеньевна,39,11и,2,Вырысалова_АЕ,OQzmQfao
266,Гомольский Владимир Юриевич,314,11х,5,Гомольский_ВЮ,P5Pctq2l
267,Швинова Марина Федоровна,271,8г,5,Швинова_МФ,mTQIGbQk
268,Рудковская Инна Дмитриевна,6,7т,3,Рудковская_ИД,sFIWZHdE
269,Решеткина Дарья Василевна,408,10и,3,Решеткина_ДВ,KliG3y7q
270,Евстихеев Игорь Василиевич,422,10х,5,Евстихеев_ИВ,rrTCXG9x
271,Лазарина Алёна Федоровна,161,8б,3,Лазарина_АФ,kSonRLay
272,Гляченков Григорий Николаевич,431,10а,5,Гляченков_ГН,l4If615r
273,Чардынцева Алина Вадимовна,135,10д,3,Чардынцева_АВ,ssDNF7hx
274,Скаредов Яков Иванович,337,9т,5,Скаредов_ЯИ,fAz4YfSt
275,Юрицкий Эдуард Денисович,192,7д,3,Юрицкий_ЭД,OEhQ8Gka
276,Кравчина Светлана Аркадьевна,413,11г,5,Кравчина_СА,S4bhIec0
277,Чмареткова Полина Вадимовна,449,10а,2,Чмареткова_ПВ,TNELqeak
278,Углова Галина Романовна,260,9г,3,Углова_ГР,2GCAdAJL
279,Згуровская Виктория Андреевна,220,9т,4,Згуровская_ВА,PdCBuzco
280,Секерский Станислав Сергеевич,235,10а,4,Секерский_СС,oOJHAoJ3
281,Жевайкин Евгений Адамович,86,11г,3,Жевайкин_ЕА,Bt1yuc6g
282,Коточигов Семён Игоревич,26,9д,5,Коточигов_СИ,M0AKTN8b
283,Калонин Альберт Денисович,297,8б,2,Калонин_АД,ig1NvquY
284,Валягин Григорий Антонович,94,10в,4,Валягин_ГА,H4LDQenD
285,Коцева Кристина Николаевна,412,9г,3,Коцева_КН,d7MocFOr
286,Голина Кристина Максимовна,3,7х,3,Голина_КМ,G4qQAcOD
287,Батрамеев Анатолий Романович,354,9х,3,Батрамеев_АР,ssZ3p9bu
288,Чикмарев Валентин Валериевич,306,9и,5,Чикмарев_ВВ,8Rvezqsk
289,Киницына Валерия Олеговна,202,7х,4,Киницына_ВО,L18QSvPq
290,Числин Юрий Денисович,121,7в,2,Числин_ЮД,vGkLyTZW
291,Стебунова Юлия Романовна,358,9т,3,Стебунова_ЮР,TfwtFWIg
292,Кацов Павел Павлович,236,10г,5,Кацов_ПП,PWdTxpet
293,Гоцев Тарас Викторович,41,8в,3,Гоцев_ТВ,pGHbM1ny
294,Мотовицкий Роман Аркадиевич,31,11и,5,Мотовицкий_РА,e3UNNPkQ
295,Чурзина Клара Егоровна,308,10б,3,Чурзина_КЕ,lNh3SI7F
296,Щепалкина Валерия Сергеевна,134,9б,4,Щепалкина_ВС,sLTaqbqB
297,Утимишев Ярослав Игоревич,239,11а,3,Утимишев_ЯИ,ZAKNIsvd
298,Алуханов Кирилл Фёдорович,298,7т,2,Алуханов_КФ,zQjmgvAO
299,Полунеев Валентин Валериевич,307,8и,2,Полунеев_ВВ,3mZ4fjgG
300,Крупенова Наталия Андреевна,209,7в,5,Крупенова_НА,LY8CeB9I
301,Корнюшин Илья Юрьевич,44,10т,3,Корнюшин_ИЮ,tJtbjYh9
302,Паушева Виолетта Никитична,310,8г,4,Паушева_ВН,VOECGDGL
303,Берзин Герасим Антонович,349,11т,5,Берзин_ГА,5Hea8Fxp
304,Шулунова Алла Алексеевна,54,7д,4,Шулунова_АА,DGdYoyhs
305,Трепашова София Яковлевна,399,11а,2,Трепашова_СЯ,DonZJlgv
306,Чумейкин Константин Антонович,8,8б,5,Чумейкин_КА,vxOuMd9H
307,Польшиков Денис Игоревич,495,9и,2,Польшиков_ДИ,WIRCOPhw
308,Медоусова Жанна Романовна,252,7б,2,Медоусова_ЖР,zWRrM8mY
309,Акуратова Клавдия Андреевна,92,9г,5,Акуратова_КА,WwoBEM83
310,Курмеева Елизавета Валерьевна,486,8а,5,Курмеева_ЕВ,QeJWcJOK
311,Бадов Александр Аркадиевич,217,10г,3,Бадов_АА,XoDqNyeb
312,Бакушин Эдуард Адамович,265,7б,5,Бакушин_ЭА,aXCy9XN8
313,Чебина Инна Сергеевна,273,10т,2,Чебина_ИС,2cXdtVYL
314,Подледнова Наталья Ивановна,112,11и,3,Подледнова_НИ,B7Y0YjH5
315,Садгеева Лиза Евгеньевна,460,11г,3,Садгеева_ЛЕ,OSTtsvse
316,Акушин Борис Павлович,493,9т,2,Акушин_БП,djVW0mNU
317,Аришев Руслан Кириллович,379,10т,3,Аришев_РК,mk0FUnok
318,Гуслова Кристина Олеговна,389,9в,2,Гуслова_КО,cKlG74yI
319,Глоточкина Оксана Аркадьевна,370,9и,5,Глоточкина_ОА,7NEU0BX9
320,Шапина Маргарита Романовна,163,8б,5,Шапина_МР,pFWJn41C
321,Дурылин Георгий Валериевич,261,11т,4,Дурылин_ГВ,XMJfumC1
322,Болкисева Анна Викторовна,248,7х,4,Болкисева_АВ,LfdNpEOK
323,Багапов Вячеслав Сергеевич,99,7д,4,Багапов_ВС,7vMNvDZ4
